"Y","X1","X2","X3","X4","X5"
"104",3,1,0,2,0,3
"105",3,1,0,0,0,10
"106",1,1,2,5,0,5
"107",1,1,0,0,0,12
"108",1,1,2,1.0957727,0,8
"109",4,0,3,6,0,4
"110",1,1,0,1.6418276,0,0
"111",1,1,2,2,0,4
"112",3,0,2,2,0,6
"113",3,0,2,6,0,6
"114",2,0,0,1.3052504,0,0
"115",3,0,2,6,0,6
"116",3,0,1,2,0,6
"117",3,1,0,1,0,10
"118",1,1,0,0,0,12
"119",3,0,2,0,0,0
"120",4,1,2,6,0,9
"121",3,0,0,0,0,10
"122",4,0,2,6,0,5
"123",3,0,0,4,0,7
"124",4,0,0,2.9228284,0,5
"125",4,0,4,6,0,5
"126",3,0,0,2,0,3
"127",1,1,2,4,0,5
"128",3,1,2,3,0,4
"129",1,1,1.9023298,2.1464009,0,7
"130",1,1,3,6,0,3
"131",3,0,1.4732779,0,0,9
"132",1,1,2,0,0,10
"133",3,0,2,4,0,5
"134",1,1,2,4,0,5
"135",3,0,2,3,0,3
"136",4,1,2,4,0,6
"137",3,1,0,4,0,2
"138",3,0,0,2,0,1
"139",2,0,3,6,0,4
"140",3,0,0,3,0,4
"141",3,0,0,3,0,4
"142",3,0,0,4,0,3
"143",4,0,2,6,0,9
"144",3,1,2,2,0,5
"145",4,0,2,3.8244703,0,3
"146",3,1,0,4,0,4
"147",1,1,2,3,0,4
"148",1,1,2,3,0,7
"149",1,1,2,0,0,12
"150",3,0,0,0,0,12
"151",3,0,0,3,0,4
"152",3,1,1,3,0,4
"153",3,0,0,0,0,11
"154",4,1,2,2,0,8
"155",1,1,2,3,0,6
"156",1,1,2,4,0,5
"157",1,1,2,5,0,9
"158",3,1,2,3,0,2
"159",3,0,2,0,0,11
"160",3,0,1,3,0,5
"161",1,1,0.60901409,0,0,9
"162",3,0,0,0,0,9
"163",1,1,2,1,0,3
"164",4,1,3.0447142,4.9460788,0,0
"165",3,0,0,2,0,1
"166",4,0,3,6,0,5
"167",1,1,2,4,0,5
"168",3,0,2,1,0,2
"169",3,0,2,0,0,12
"170",1,1,0,0,0,12
"171",3,0,0,1,0,2
"172",1,0,2,4,0,2
"173",2,1,3,1,0,1
"174",3,1,3,3,0,3
"175",1,0,2,3,0,1
"176",2,1,2,1,1,1
"177",4,1,0,0,1,8
"178",3,0,0,0,1,2
"179",2,0,2,2.7678273,1,2
"180",2,0,4,4,1,1
"181",3,1,3,4,1,9
"182",1,1,3,6,1,8
"183",1,1,2,6,1,5
"184",2,0,2,3,1,2
"185",3,0,2.4712095,3,1,6
"186",4,0,0,4,1,3
"187",4,0,0,0,1,7
"188",4,1,2,4,1,7
"189",1,1,0,1,1,6
"190",3,0,2,1,1,1
"191",3,1,2,2,1,5
"192",3,0,2,4,1,4
"193",2,0,0,3,1,4
"194",3,0,2,1,0,10
"195",1,1,2,2,0,2
"196",1,1,2,5,0,3
"197",1,1,2,0,0,9
"198",1,1,2,4,0,5
"199",1,1,0,1,0,2
"200",4,1,2,0,0,2
"201",1,1,0,-0.67153901,0,9
"202",1,1,0,0,0,10
"203",1,1,2,7.2389359,0,3
"204",3,1,0,1,0,11
"205",1,1,2,2.7052798,0,0
"206",3,1,0,4,0,11
"207",1,1,2,4,0,4
"208",3,0,1,6,0,5
"209",4,0,0,3,0,1
"210",3,0,2,2,0,3
"211",2,0,0,1,0,2
"212",2,0,2,4,0,2
"213",1,1,1,1,0,3
"214",4,0,0,0,0,1
"215",1,1,1,6,0,5
"216",3,1,0,0,0,4
"217",1,1,0,0,0,3
"218",3,1,0,0,0,11
"219",1,1,0,3,0,2
"220",3,0,1,1,0,1
"221",3,1,0,2,0,12
"222",1,1,0,1,0,4
"223",3,1,0,0,0,3
"224",3,1,1,3,0,2
"225",1,1,2,1,0,9
"226",1,1,2,5,0,7
"227",3,0,3,0,0,0
"228",1,1,2,3,0,4
"229",1,1,2,3,0,3
"230",3,1,1,0,0,7
"231",3,1,0,5,0,11
"232",3,0,4,1,0,5
"233",3,1,2,2,0,3
"234",3,1,0.046662103,0,0,12
"235",3,1,2,0,0,12
"236",1,1,0,1,0,11
"237",1,0,3,4,0,7
"238",4,0,2,6,0,3
"239",1,1,2,2,0,12
"240",4,1,2,3,0,7
"241",4,0,2,5,0,3
"242",4,1,4,6,0,5
"243",1,1,2,4,0,0
"244",1,1,4.2215371,4,0,3
"245",1,1,2,0,0,5
"246",2,1,2,0,0,9
"247",2,0,2,1,0,1
"248",3,0,2,5,0,5
"249",1,1,2,0,0,1
"250",4,1,3,0,0,1
"251",1,1,2,2,0,2
"252",3,0,0,1,0,1
"253",1,1,4,5,0,5
"254",4,1,2,0,1,4
"255",1,1,2,5,1,10
"256",2,1,2,2,1,4
"257",3,1,2,0,1,3
"258",1,0,2,3,1,5
"259",3,1,0,0,1,3
"260",3,0,3,4,1,2
"261",3,0,0,0,1,12
"262",1,1,1,4,1,4
"263",1,1,2,5,1,6
"264",1,1,2,4,1,4
"265",1,1,2,0,1,1
"266",4,1,3,5,1,6
"267",3,0,3,6,1,10
"268",3,1,0,3,1,4
"269",3,0,2,5,1,2
"270",2,0,0,0,1,3
"271",3,0,0,0,1,11
"272",3,0,2,1.9290907,1,5
"273",1,0,2,4,1,4
"274",3,1,0,0,1,4
"275",3,1,2,2,1,8
"276",3,0,2,1,1,8
"277",1,1,2,1,1,11
"278",1,1,0,2,1,5
"279",3,1,2,0,0,12
"280",4,0,3,6,0,2
"281",1,1,0,2,0,2
"282",1,1,2,3,0,5
"283",3,1,2,0,0,4
"284",1,1,2,0,0,10
"285",1,0,2,3,0,3
"286",1,1,1,6,0,3
"287",1,1,0,3,0,7
"288",1,1,2,4,0,3
"289",1,1,2,3,0,7
"290",1,1,0,0,0,9
"291",1,1,3,4,0,9
"292",3,0,0,2,0,2
"293",3,0,2,5,0,2
"294",3,1,3,4,0,6
"295",3,1,0,0,0,12
"296",3,0,2,4,0,7
"297",1,1,0,5,0,6
"298",2,1,2,5,0,6
"299",1,1,0,1,0,11
"300",1,1,4,6,0,8
"301",3,1,3,6,0,9
"302",1,1,2,5,0,5
"303",3,1,0,2,0,7
"304",3,1,0,1,0,4
"305",2,0,2,4,0,5
"306",3,0,0,2,0,5
"307",1,1,3,5,0,4
"308",3,1,2.6667101,3,0,3
"309",3,0,2,0,0,4
"310",1,1,2,4,0,6
"311",1,1,2,6.079278,0,2
"312",1,1,2,4,0,5
"313",1,0,0,6,0,0
"314",1,1,2,1,0,11
"315",3,0,0,2,0,5
"316",4,1,1.8300025,3.8728535,0,6
"317",1,1,2,2,0,9
"318",3,1,2,1,0,10
"319",4,0,2,2,0,4
"320",3,0,0,3,0,1
"321",3,1,0,4,0,4
"322",4,1,0,0,0,9
"323",3,1,0,2,0,4
"324",3,0,1.1216159,5,0,4
"325",1,1,1,3,0,9
"326",3,0,0,0,0,11
"327",4,1,0,2,0,8
"328",3,0,2,2,0,7
"329",1,0,3,6,0,10
"330",1,1,2,3,0,7
"331",1,1,2,3,0,3
"332",3,1,0.52696425,0.78945738,0,12
"333",3,1,0,5,0,6
"334",1,1,0.46190405,1.3425007,0,9
"335",4,1,3,6,0,4
"336",4,1,2.2175362,2.7539485,0,0
"337",1,1,2,3,0,5
"338",3,1,2,6,0,0
"339",1,1,2,6,0,2
"340",1,1,2.2951491,2,0,4
"341",1,1,1,2,0,7
"342",1,1,2,3,0,2
"343",3,1,2,0,0,8
"344",3,1,2,0,0,12
"345",1,1,0,-1.131285,0,6
"346",3,0,0,3.758266,0,5
"347",1,1,2,2,0,10
"348",3,1,2,1,0,9
"349",1,1,1,1,0,0
"350",1,1,0,3,1,3
"351",1,1,3,5,1,11
"352",3,0,2,0,1,3
"353",3,1,0,2,1,4
"354",1,1,0,0,1,7
"355",1,1,3,5,1,4
"356",1,1,2,5,1,1
"357",3,1,2,1,1,9
"358",3,0,1,3,1,2
"359",3,1,2,0,1,1
"360",3,0,3,2,1,4
"361",1,1,2,0,1,10
"362",1,1,2,4,0,8
"363",1,1,2,4,0,11
"364",3,0,3,6,0,3
"365",3,1,3,6,0,7
"366",1,1,2,4,0,8
"367",1,1,2,5,0,6
"368",3,0,3,5,0,1
"369",1,1,2,3,0,7
"370",3,1,1,0,0,9
"371",3,0,3,2,0,2
"372",3,0,0,3,0,4
"373",1,1,0,0,0,12
"374",1,1,2,1,0,10
"375",1,1,2,1,0,2
"376",3,1,2,4,0,5
"377",1,1,2,3,0,9
"378",3,0,2,2,0,9
"379",4,0,2,2,0,10
"380",3,0,0,0,0,11
"381",3,0,0,3,0,2
"382",4,1,3,6,0,10
"383",4,1,3,4,0,4
"384",4,0,3,4,0,1
"385",2,0,2,6,0,2
"386",4,0,3,4,0,0
"387",4,1,2,6,0,4
"388",3,0,0,3,0,5
"389",1,1,2,4,0,5
"390",3,0,2,4,0,4
"391",3,1,2,0,0,10
"392",1,1,0,4,0,3
"393",1,1,0,0,0,11
"394",3,0,3,3,0,4
"395",1,1,2,2,0,2
"396",3,1,0,0,0,8
"397",3,0,0,2,0,2
"398",1,1,1,1,0,4
"399",4,1,0,4,0,0
"400",1,1,2,2,0,12
"401",1,1,0,2,0,2
"402",4,0,2,1,0,11
"403",4,0,2,6,0,4
"404",1,1,1,2,0,6
"405",3,0,0,5,0,6
"406",1,1,1,4,0,3
"407",3,0,2,0,0,2
"408",3,1,2,0,0,1
"409",1,1,2,1,0,6
"410",1,1,3,3,0,2
"411",3,1,3,2,0,3
"412",3,0,2,3,0,3
"413",1,1,2,1,0,7
"414",4,1,3,6,0,6
"415",3,1,2,0,0,5
"416",3,0,2,1,0,11
"417",4,1,2,3,0,3
"418",2,0,3,6,0,4
"419",2,0,4,6,0,4
"420",1,1,2,2,0,2
"421",1,1,1,2,0,10
"422",4,1,1.2175363,5,0,12
"423",1,1,4,6,0,7
"424",4,0,2,4,0,4
"425",1,1,2,3,0,2
"426",1,1,2,4,0,2
"427",1,1,2,0,0,9
"428",1,1,0,4,0,2
"429",4,1,0,2,0,2
"430",1,1,2,4,0,2
"431",1,1,2,3,0,4
"432",1,1,2,3,0,3
"433",3,1,2,5,0,6
"434",1,1,2,2,0,4
"435",3,0,1,0,0,2
"436",3,0,2,3,0,3
"437",1,1,0,2,0,6
"438",3,0,2,5,0,6
"439",4,0,2,6,0,2
"440",4,1,3,6,0,4
"441",3,0,3,6,0,5
"442",1,1,3,3,0,8
"443",3,1,2,4,0,5
"444",3,1,3,5,0,4
"445",1,1,2,3,0,6
"446",1,1,2,5,0,10
"447",3,0,3,4,1,5
"448",3,0,2,1,1,4
"449",1,1,2,5,1,3
"450",3,1,3,0,1,3
"451",1,1,3,0,1,2
"452",2,0,0,0,1,5
"453",1,1,1,2,1,11
"454",3,0,0,3,1,5
"455",3,0,2.2464688,4,1,6
"456",1,1,2,6.2338915,1,12
"457",3,1,0,3,1,2
"458",4,0,2,0,1,0
"459",2,1,0,0,1,1
"460",3,1,2,5,1,3
"461",1,1,0,0,1,11
"462",4,1,2,6,1,5
"463",1,1,2,1,1,10
"464",3,0,2,1,1,3
"465",2,1,3,0,1,0
"466",1,1,1,1,0,2
"467",4,0,2,4,0,6
"468",3,0,2,1,0,0
"469",3,0,3,2,0,3
"470",1,1,2,6,0,8
"471",1,0,2,6,0,4
"472",3,1,0,3,0,3
"473",1,0,2,4,0,2
"474",3,1,2,0,0,3
"475",1,1,0,0,0,10
"476",2,1,2,1,0,6
"477",2,1,2,3,0,3
"478",3,0,0,0,0,2
"479",4,1,3,4.6448832,0,6
"480",3,0,2,0,0,2
"481",4,0,1.6031975,6,0,10
"482",4,0,2,2,0,1
"483",1,1,2,1,0,3
"484",3,1,0,0,0,6
"485",3,0,2,2,0,1
"486",1,1,2,3,0,3
"487",3,0,2,2,0,9
"488",1,1,4,6,0,3
"489",1,0,2,1.0966297,0,5
"490",3,0,3,3,0,10
"491",4,1,3,3,0,12
"492",3,0,0,0,0,2
"493",4,0,3,5,0,4
"494",1,1,3,5,0,2
"495",4,0,2,2.197634,0,6
"496",3,0,2,6,0,2
"497",4,1,3,2,0,9
"498",3,1,2,6,0,1
"499",1,1,0,1,0,9
"500",1,0,3,6,0,10
"501",3,1,2,5,0,9
"502",1,1,0,2,0,3
"503",3,0,2,6,0,2
"504",2,1,1,5,0,4
"505",1,1,2,6,0,8
"506",1,1,1,5.2736158,1,12
"507",4,1,3,6,1,3
"508",4,1,0,3,1,9
"509",3,0,2,5,1,6
"510",3,0,1,5,1,2
"511",2,0,2,3,1,7
"512",3,0,0,0,1,2
"513",3,0,2,2,1,3
"514",4,0,2,5,1,5
"515",3,0,0,3,1,3
"516",2,0,2,2,1,2
"517",3,1,0,1,1,5
"518",3,1,0,2,1,4
"519",3,0,2,0,1,2
"520",3,0,3,2,1,0
"521",2,1,1,4,1,6
"522",1,1,3,2,1,5
"523",3,0,0,0,1,4
"524",1,1,1.8377353,0,1,3
"525",4,0,2,1,1,6
"526",4,1,0,0,1,3
"527",1,1,0.49144414,3,1,9
"528",3,1,2,3,1,9
"529",3,0,2,2,1,11
"530",2,1,2,4,1,9
"531",1,1,2,3,1,2
"532",3,0,2,2,1,9
"533",3,0,3,4,1,8
"534",1,1,3,6,1,12
"535",3,1,3,0,1,1
"536",3,0,2,2,1,4
"537",3,0,2,0,1,2
"538",3,0,2,1,1,4
"539",4,1,3,5,1,6
"540",1,1,2,6,1,2
"541",3,1,2,2,1,1
"542",3,0,3,2,1,2
"543",4,0,2,4,1,6
"544",3,0,0,0,1,7
"545",1,0,0,0,1,12
"546",2,0,2,3,1,9
"547",1,0,2,2,1,5
"548",1,1,3,4,1,4
"549",3,1,2,2,1,3
"550",3,1,3,5,1,5
"551",3,0,2,5,1,7
"552",1,1,2,1,1,2
"553",3,1,0,1,1,12
"554",4,0,2,4,1,3
"555",3,0,2,2,1,3
"556",2,0,2,-1.0981967,1,8
"557",3,1,2,5,1,2
"558",1,1,0,4,0,4
"559",2,0,0,3,0,0
"560",1,1,0,5,0,10
"561",2,0,2,4,0,2
"562",1,1,2,3,0,3
"563",3,1,0,1,0,8
"564",3,1,2,1,0,11
"565",3,1,2,2,0,12
"566",4,0,2,1,0,2
"567",1,1,2,3,0,1
"568",4,0,2,4.9134169,0,9
"569",1,1,1,2,0,9
"570",3,0,0,1,0,9
"571",2,0,3,6,0,4
"572",3,1,1,1,0,4
"573",3,0,0,0.61249554,0,4
"574",3,0,2,1,0,2
"575",1,1,3,6,0,7
"576",2,0,2.6337571,-0.11189947,0,9
"577",4,0,2,2,0,12
"578",4,0,3,3,0,9
"579",1,1,2,0,0,10
"580",3,0,3,6,0,5
"581",1,1,2,0,0,6
"582",2,0,4,6,0,9
"583",2,0,3,6,0,8
"584",2,1,3,4,0,5
"585",4,1,2,3,1,3
"586",4,1,1.3950014,0,1,1
"587",1,1,2,4,1,10
"588",1,1,0,1,1,10
"589",3,0,2,4,1,2
"590",1,1,0,1,1,3
"591",4,1,2,4,1,10
"592",2,1,2,0,1,6
"593",3,0,3,4,1,3
"594",1,1,0,1,1,12
"595",4,1,2,4,1,4
"596",3,1,0,1,1,3
"597",2,0,2,5.5456605,1,1
"598",3,1,2,0.89519954,1,0
"599",1,1,0,4,1,2
"600",3,1,1,2,1,8
"601",1,0,3,4,1,1
"602",3,1,0,0,1,5
"603",3,1,2,0,1,3
"604",1,0,0,1,0,4
"605",1,1,1,6.8580837,0,3
"606",1,1,2,5,0,8
"607",2,1,2,4,0,5
"608",3,1,1.9770671,6.9629335,0,5
"609",3,1,2,0,0,2
"610",2,1,3,5,0,3
"611",1,1,2,5,0,8
"612",3,1,2,4,0,4
"613",4,1,0,2,0,4
"614",1,0,2,2.6021564,0,5
"615",3,1,0,3,0,3
"616",4,1,3,6,0,7
"617",3,0,2,4,0,4
"618",2,0,0,3,0,3
"619",3,0,2,2,0,10
"620",3,0,2,2.380697,0,5
"621",4,0,2,5,0,4
"622",1,0,2,5,0,4
"623",3,0,2,1,0,6
"624",1,0,0,3,0,2
"625",1,0,2,4,0,5
"626",3,0,0,3,0,11
"627",1,1,0,-0.63375437,0,8
"628",2,0,1,1,0,5
"629",1,1,3,3,0,11
"630",3,0,1,4,0,2
"631",3,0,1,4,0,10
"632",3,0,0,3,0,8
"633",3,1,2,5,0,5
"634",2,0,2,6,0,3
"635",3,0,2,1,0,1
"636",4,1,3,6,0,2
"637",4,0,2,5,0,4
"638",4,0,0,1,0,1
"639",1,1,2,0,0,12
"640",4,1,2,5,0,5
"641",3,0,0,4,0,9
"642",3,0,2,5,0,5
"643",3,0,2,5,0,7
"644",4,1,3,4,0,4
"645",4,1,3,3,0,2
"646",4,0,2,4,0,4
"647",1,1,3,4,0,11
"648",3,0,2,5,0,2
"649",3,0,2,4,0,2
"650",3,0,2,4,0,9
"651",1,0,2,2.0912635,0,1
"652",2,0,3,5,0,3
"653",3,1,2,4,0,9
"654",4,0,2,5,0,7
"655",1,1,4,6,0,9
"656",3,1,1,5,0,3
"657",2,0,2,6,0,4
"658",3,1,2,2.1471813,0,5
"659",3,0,0.92172676,1,0,6
"660",4,1,2,0,0,5
"661",1,0,0,5,0,3
"662",4,0,0,0,0,5
"663",1,1,2,3,0,2
"664",1,0,0,2,0,5
"665",3,0,2,3,0,2
"666",1,1,2,4,0,2
"667",3,0,0,3,0,3
"668",3,1,0,0,0,4
"669",2,0,0,3,0,5
"670",4,0,0,5,0,5
"671",1,1,2,3,0,8
"672",3,0,1,3,0,3
"673",3,0,2,4,0,5
"674",2,1,3,4,0,3
"675",1,1,2,1,0,9
"676",3,0,2,5,0,3
"677",4,0,2,4,0,1
"678",3,1,2,2,0,5
"679",2,0,2,4,0,2
"680",1,0,2,4,0,4
"681",4,0,1,2,0,4
"682",3,1,0,1,1,7
"683",3,0,2,2,1,12
"684",3,0,1,1,1,2
"685",4,1,2,4,1,4
"686",3,0,2,4,1,2
"687",1,1,1,3,1,8
"688",3,0,2,6,1,2
"689",1,1,1.7592924,0,1,12
"690",3,0,1,2,1,5
"691",2,0,3,6,1,1
"692",1,1,2,5,0,10
"693",4,0,3,5,0,5
"694",3,1,2,3,0,8
"695",1,0,3,4,0,7
"696",1,1,2,5,0,4
"697",3,0,2,4,0,6
"698",4,1,3,6,0,4
"699",1,1,1,3,0,5
"700",4,0,2,4,0,5
"701",3,0,1,1,0,2
"702",1,0,2,3,0,9
"703",1,1,1,5,0,1
"704",3,0,0,0.11215861,0,12
"705",3,1,2,5,0,4
"706",1,1,3,6,0,2
"707",2,0,2,4,0,1
"708",3,0,1,0,0,12
"709",4,0,2,6,0,7
"710",3,0,2,4,0,5
"711",4,0,4,0,0,0
"712",1,1,1,0,0,12
"713",3,0,0,6,0,1
"714",3,0,0,0.71668059,0,9
"715",3,0,1,0.42894885,0,12
"716",3,0,0,1,0,5
"717",3,0,2,2,0,3
"718",3,0,0,0,0,8
"719",1,0,3,1,0,1
"720",2,1,2,4,0,5
"721",4,0,2,6,0,2
"722",1,1,2,6,0,0
"723",1,1,3,0,0,2
"724",3,0,0,2,0,4
"725",3,1,0,0,0,11
"726",1,1,2,0,0,8
"727",1,1,3,6,0,3
"728",1,0,2,5,0,1
"729",3,1,0,0,0,12
"730",3,0,1,1,0,3
"731",1,0,2,0,0,12
"732",1,1,2,5,0,7
"733",3,0,1,4,0,4
"734",3,0,1.4511719,1,1,2
"735",1,1,0,0,1,5
"736",1,1,1.163946,0,1,11
"737",1,1,2,0,1,12
"738",1,1,2,1,1,8
"739",3,1,2,1,1,3
"740",1,1,2,2,1,4
"741",3,1,0,0,1,8
"742",1,1,2,0,1,12
"743",2,0,2,0,1,4
"744",3,1,2,6,1,9
"745",1,1,3,6,1,2
"746",2,0,2,3,1,11
"747",3,0,2,5,1,4
"748",1,1,2,4,1,8
"749",3,1,2,1,1,10
"750",4,1,2,0,1,3
"751",1,1,3,3,1,11
"752",2,0,2,2,1,4
"753",1,1,2,6,1,2
"754",3,1,2,2,1,12
"755",1,1,0,1,1,10
"756",4,0,4,6,1,6
"757",4,0,3,6,1,10
"758",1,1,2,2,1,10
"759",3,0,0,1,1,1
"760",4,0,4,4,1,6
"761",3,1,1,1,1,0
"762",1,1,3,3,1,8
"763",4,1,2,2,1,10
"764",4,1,4,6,1,12
"765",1,1,0,2,0,11
"766",1,1,2,5,0,3
"767",3,0,2,5,0,5
"768",1,1,0,2,0,2
"769",3,0,2,6,0,0
"770",3,1,0,0,0,6
"771",1,1,1,3,0,2
"772",1,1,2,0,0,9
"773",4,1,0,4,0,5
"774",3,0,3,5,0,4
"775",4,1,2,0,0,10
"776",2,0,2,4,0,4
"777",4,0,3,6,0,2
"778",1,0,2,1.4205695,0,6
"779",1,1,2,4,0,12
"780",1,0,1,4,0,1
"781",3,1,2,5,0,3
"782",1,1,3,3,0,1
"783",1,1,0,0,0,9
"784",3,1,2,2,0,4
"785",4,0,2,6,0,11
"786",1,0,3,6,0,7
"787",3,1,0,6,0,8
"788",4,1,2,5,0,8
"789",3,0,2,0,0,3
"790",1,1,2,0,0,1
"791",3,0,2,3,0,2
"792",4,1,3,5,0,3
"793",1,1,3,5,0,10
"794",2,0,2,0,0,2
"795",3,0,3,0,0,3
"796",2,1,2,3,0,6
"797",2,1,0,0,0,8
"798",3,0,2,0,0,1
"799",2,0,2,0,0,0
"800",2,0,1,3,0,1
"801",3,0,0,2,0,1
"802",3,0,0,0,0,6
"803",4,0,2,5,0,3
"804",3,1,3,4,0,12
"805",3,0,0,1,0,9
"806",1,1,0,0,0,12
"807",4,0,2,5,0,11
"808",4,0,2,4,0,9
"809",1,1,2,0,0,9
"810",3,0,0,1,0,1
"811",3,0,0,1,0,10
"812",1,1,0,5,0,3
"813",1,1,2,3,0,7
"814",3,1,0,1,0,1
"815",4,0,2,5,0,3
"816",4,1,2,3,0,4
"817",1,1,2,4,0,3
"818",2,0,2.9178407,6,0,4
"819",1,1,0,1,0,9
"820",3,0,2,6,0,4
"821",2,0,2,2,0,3
"822",1,1,2,0,0,10
"823",1,1,2,2,0,4
"824",1,1,1,3,0,2
"825",1,1,2,3,0,9
"826",3,0,2,5,0,2
"827",4,0,2,6,0,3
"828",4,1,4,6,0,8
"829",1,1,2.0053136,6,0,4
"830",1,1,2,1,0,4
"831",1,1,2,3,0,4
"832",4,1,3,5,0,3
"833",3,0,2,5,0,3
"834",1,1,3,6,0,3
"835",1,1,4,6,0,1
"836",1,1,2,4,0,3
"837",4,1,2,5,0,6
"838",1,0,2,1,0,1
"839",3,0,1,3,0,2
"840",2,0,2,4,0,2
"841",3,1,1,4,0,1
"842",1,1,2,2.5358107,0,10
"843",1,1,-0.52105278,0,0,9
"844",1,1,2,6,0,8
"845",1,1,2.0924528,3.4333422,0,2
"846",3,0,1.5558525,2,0,10
"847",3,1,2,3,1,12
"848",4,0,0,0,1,7
"849",1,1,2,4,1,1
"850",3,0,3,4,1,4
"851",3,0,0,0,1,2
"852",1,1,0,0,1,12
"853",1,0,2,2,1,2
"854",3,0,2,2,1,6
"855",4,1,2,3,1,4
"856",3,1,2,0,1,10
"857",3,0,2,1,1,12
"858",4,1,0,2,1,2
"859",4,1,4,6,1,8
"860",4,1,3,6,1,5
"861",3,0,1,1,1,9
"862",2,0,1.2700883,1,1,0
"863",3,0,1,3,1,3
"864",4,1,3,1,1,1
"865",4,1,2,2,1,8
"866",1,1,2,3,1,11
"867",3,1,0,-2.6104329,1,7
"868",2,0,2,6,1,5
"869",3,0,2,3,1,2
"870",4,0,2,4,1,2
"871",3,0,0,0,1,10
"872",2,0,2,0,1,0
"873",2,1,2,3,1,1
"874",1,1,0,0,1,10
"875",3,1,0,0,1,11
"876",3,0,1,4,1,4
"877",2,0,2,6,1,2
"878",1,1,0,3,1,7
"879",3,1,2,4,1,7
"880",3,0,0,2,1,7
"881",1,0,2,1,1,1
"882",3,0,1,4,1,3
"883",1,1,2,5,1,9
"884",4,0,2,1,1,5
"885",3,1,2,0,1,7
"886",3,0,1,3,0,3
"887",3,0,2,2,0,1
"888",1,0,2,3,0,10
"889",3,0,3,6,0,9
"890",1,1,1,1,0,4
"891",1,0,2,1,0,3
"892",3,1,0,0,0,12
"893",4,0,3,6,0,5
"894",1,1,3,6,0,8
"895",1,1,3,3,0,2
"896",1,0,2,2,0,1
"897",1,1,2,4,0,8
"898",4,1,2,6,0,2
"899",4,1,2,4,0,5
"900",1,1,2,3,0,7
"901",4,1,2,3,0,2
"902",1,1,3,6,0,7
"903",3,1,0,1,0,7
"904",3,1,2,4,0,4
"905",1,0,2,5,0,1
"906",1,1,2,1,0,3
"907",1,1,0,1,0,12
"908",3,0,2,4,0,5
